epoch,lr-AdamW,step,test_acc,test_auroc,test_bal_acc,test_balanced_acc,test_loss,test_macro_f1,test_mi_loss,train_acc,train_loss,train_mi_loss,val_acc,val_bal_acc,val_loss,val_mi_loss
,5e-05,9,,,,,,,,,,,,,,
0,,9,,,,,,,,0.640625,2.1312921047210693,4.486608028411865,,,,
,5e-05,19,,,,,,,,,,,,,,
0,,19,,,,,,,,0.609375,2.0662331581115723,4.3998541831970215,,,,
,5e-05,29,,,,,,,,,,,,,,
0,,29,,,,,,,,0.65625,1.9734814167022705,4.351077079772949,,,,
0,,30,,,,,,,,,,,0.6682577729225159,0.18703262507915497,1.885018229484558,3.899367332458496
,9.5e-05,39,,,,,,,,,,,,,,
1,,39,,,,,,,,0.578125,1.8607321977615356,4.005406856536865,,,,
,9.5e-05,49,,,,,,,,,,,,,,
1,,49,,,,,,,,0.703125,1.6186609268188477,3.930323362350464,,,,
,9.5e-05,59,,,,,,,,,,,,,,
1,,59,,,,,,,,0.65625,1.591033697128296,3.715179443359375,,,,
1,,61,,,,,,,,,,,0.6682577729225159,0.18703262507915497,1.5434653759002686,3.471484422683716
,0.00014000000000000001,69,,,,,,,,,,,,,,
2,,69,,,,,,,,0.6875,1.5767368078231812,3.481198787689209,,,,
,0.00014000000000000001,79,,,,,,,,,,,,,,
2,,79,,,,,,,,0.59375,1.6140971183776855,3.216449737548828,,,,
,0.00014000000000000001,89,,,,,,,,,,,,,,
2,,89,,,,,,,,0.734375,1.3980015516281128,2.9357516765594482,,,,
2,,92,,,,,,,,,,,0.6682577729225159,0.18703262507915497,1.4027341604232788,2.4219329357147217
,0.00018500000000000002,99,,,,,,,,,,,,,,
3,,99,,,,,,,,0.625,1.4518227577209473,2.66272234916687,,,,
,0.00018500000000000002,109,,,,,,,,,,,,,,
3,,109,,,,,,,,0.75,1.3100336790084839,2.3728556632995605,,,,
,0.00018500000000000002,119,,,,,,,,,,,,,,
3,,119,,,,,,,,0.609375,1.4346044063568115,2.1197879314422607,,,,
3,,123,,,,,,,,,,,0.6778042912483215,0.2002182900905609,1.302370548248291,1.6356961727142334
,0.00023000000000000003,129,,,,,,,,,,,,,,
4,,129,,,,,,,,0.59375,1.4376548528671265,1.9559383392333984,,,,
,0.00023000000000000003,139,,,,,,,,,,,,,,
4,,139,,,,,,,,0.703125,1.330544114112854,1.7336829900741577,,,,
,0.00023000000000000003,149,,,,,,,,,,,,,,
4,,149,,,,,,,,0.609375,1.4406810998916626,1.7374705076217651,,,,
4,,154,,,,,,,,,,,0.6825775504112244,0.2134748250246048,1.2427074909210205,1.1896343231201172
,0.000275,159,,,,,,,,,,,,,,
5,,159,,,,,,,,0.703125,1.1688474416732788,1.4599765539169312,,,,
,0.000275,169,,,,,,,,,,,,,,
5,,169,,,,,,,,0.65625,1.3175692558288574,1.393779993057251,,,,
,0.000275,179,,,,,,,,,,,,,,
5,,179,,,,,,,,0.703125,1.216538429260254,1.418560266494751,,,,
5,,185,,,,,,,,,,,0.680190920829773,0.21783022582530975,1.215875506401062,0.9220433831214905
,0.00032,189,,,,,,,,,,,,,,
6,,189,,,,,,,,0.734375,1.0402896404266357,1.1367394924163818,,,,
,0.00032,199,,,,,,,,,,,,,,
6,,199,,,,,,,,0.671875,1.2260780334472656,1.2202632427215576,,,,
,0.00032,209,,,,,,,,,,,,,,
6,,209,,,,,,,,0.625,1.2495648860931396,1.046609878540039,,,,
6,,216,,,,,,,,,,,0.6682577729225159,0.2218983769416809,1.2047854661941528,0.7619320154190063
,0.00036500000000000004,219,,,,,,,,,,,,,,
7,,219,,,,,,,,0.734375,1.1053428649902344,0.9534716606140137,,,,
,0.00036500000000000004,229,,,,,,,,,,,,,,
7,,229,,,,,,,,0.625,1.2321115732192993,1.0224839448928833,,,,
,0.00036500000000000004,239,,,,,,,,,,,,,,
7,,239,,,,,,,,0.6875,1.144079327583313,1.003814935684204,,,,
7,,247,,,,,,,,,,,0.663484513759613,0.22115282714366913,1.2109450101852417,0.660677969455719
,0.00041000000000000005,249,,,,,,,,,,,,,,
8,,249,,,,,,,,0.671875,1.1425278186798096,0.9291458129882812,,,,
,0.00041000000000000005,259,,,,,,,,,,,,,,
8,,259,,,,,,,,0.6875,1.1198359727859497,0.8898116946220398,,,,
,0.00041000000000000005,269,,,,,,,,,,,,,,
8,,269,,,,,,,,0.65625,1.1696650981903076,0.8442708849906921,,,,
8,,278,,,,,,,,,,,0.6610978245735168,0.2286171317100525,1.2688777446746826,0.6044369339942932
,0.0004550000000000001,279,,,,,,,,,,,,,,
9,,279,,,,,,,,0.734375,1.0457687377929688,0.8376061320304871,,,,
,0.0004550000000000001,289,,,,,,,,,,,,,,
9,,289,,,,,,,,0.78125,1.0000931024551392,0.8041461706161499,,,,
,0.0004550000000000001,299,,,,,,,,,,,,,,
9,,299,,,,,,,,0.78125,0.984342098236084,0.8141708374023438,,,,
,0.0004550000000000001,309,,,,,,,,,,,,,,
9,,309,,,,,,,,0.8055555820465088,0.96073317527771,0.5386079549789429,,,,
9,,309,,,,,,,,,,,0.663484513759613,0.23107033967971802,1.3074661493301392,0.5574792623519897
,0.0005,319,,,,,,,,,,,,,,
10,,319,,,,,,,,0.796875,0.9506250619888306,0.7279729843139648,,,,
,0.0005,329,,,,,,,,,,,,,,
10,,329,,,,,,,,0.75,0.9674321413040161,0.7670941352844238,,,,
,0.0005,339,,,,,,,,,,,,,,
10,,339,,,,,,,,0.78125,0.9455182552337646,0.7724949717521667,,,,
10,,340,,,,,,,,,,,0.6348448395729065,0.2195686548948288,1.3209928274154663,0.5306825041770935
,0.0004998492296872263,349,,,,,,,,,,,,,,
11,,349,,,,,,,,0.84375,0.8656943440437317,0.6931328773498535,,,,
,0.0004998492296872263,359,,,,,,,,,,,,,,
11,,359,,,,,,,,0.796875,0.877831757068634,0.7356017827987671,,,,
,0.0004998492296872263,369,,,,,,,,,,,,,,
11,,369,,,,,,,,0.765625,0.9409592151641846,0.712921142578125,,,,
11,,371,,,,,,,,,,,0.6372315287590027,0.24234932661056519,1.3419865369796753,0.512744665145874
,0.0004993971024393066,379,,,,,,,,,,,,,,
12,,379,,,,,,,,0.84375,0.8281489014625549,0.6750637292861938,,,,
,0.0004993971024393066,389,,,,,,,,,,,,,,
12,,389,,,,,,,,0.765625,0.9869860410690308,0.6875460147857666,,,,
,0.0004993971024393066,399,,,,,,,,,,,,,,
12,,399,,,,,,,,0.828125,0.7955878973007202,0.597697377204895,,,,
12,,402,,,,,,,,,,,0.6396181583404541,0.2348468005657196,1.346453309059143,0.4826718866825104
,0.0004986441691036478,409,,,,,,,,,,,,,,
13,,409,,,,,,,,0.875,0.726283609867096,0.659077525138855,,,,
,0.0004986441691036478,419,,,,,,,,,,,,,,
13,,419,,,,,,,,0.859375,0.8096235990524292,0.6054532527923584,,,,
,0.0004986441691036478,429,,,,,,,,,,,,,,
13,,429,,,,,,,,0.890625,0.7397294640541077,0.6730612516403198,,,,
13,,433,,,,,,,,,,,0.6372315287590027,0.2335899919271469,1.4022523164749146,0.47345614433288574
,0.0004975913470135388,439,,,,,,,,,,,,,,
14,,439,,,,,,,,0.8125,0.8112770318984985,0.6519972085952759,,,,
,0.0004975913470135388,449,,,,,,,,,,,,,,
14,,449,,,,,,,,0.859375,0.8043727874755859,0.6216669082641602,,,,
,0.0004975913470135388,459,,,,,,,,,,,,,,
14,,459,,,,,,,,0.890625,0.763270914554596,0.6043403148651123,,,,
14,,464,,,,,,,,,,,0.6276849508285522,0.22685842216014862,1.4318702220916748,0.4563038945198059
,0.0004962399188705217,469,,,,,,,,,,,,,,
15,,469,,,,,,,,0.828125,0.786187469959259,0.5850858688354492,,,,
,0.0004962399188705217,479,,,,,,,,,,,,,,
15,,479,,,,,,,,0.9375,0.6660904288291931,0.6339089274406433,,,,
,0.0004962399188705217,489,,,,,,,,,,,,,,
15,,489,,,,,,,,0.828125,0.8220164775848389,0.6446542143821716,,,,
15,,495,,,,,,,,,,,0.6229116916656494,0.214187353849411,1.4787362813949585,0.44953393936157227
,0.0004945915311816171,499,,,,,,,,,,,,,,
16,,499,,,,,,,,0.9375,0.6750214099884033,0.5619141459465027,,,,
,0.0004945915311816171,509,,,,,,,,,,,,,,
16,,509,,,,,,,,0.921875,0.6522974967956543,0.6073281764984131,,,,
,0.0004945915311816171,519,,,,,,,,,,,,,,
16,,519,,,,,,,,0.875,0.7537866830825806,0.6001010537147522,,,,
16,,526,,,,,,,,,,,0.6348448395729065,0.23158898949623108,1.4821690320968628,0.4295075237751007
,0.0004926481922533092,529,,,,,,,,,,,,,,
17,,529,,,,,,,,0.953125,0.7020998597145081,0.5555171370506287,,,,
,0.0004926481922533092,539,,,,,,,,,,,,,,
17,,539,,,,,,,,0.9375,0.7331538796424866,0.6373041868209839,,,,
,0.0004926481922533092,549,,,,,,,,,,,,,,
17,,549,,,,,,,,0.8125,0.8078439831733704,0.5471829175949097,,,,
17,,557,,,,,,,,,,,0.6252983212471008,0.21855366230010986,1.4920958280563354,0.41897228360176086
,0.0004904122697447341,559,,,,,,,,,,,,,,
18,,559,,,,,,,,0.921875,0.7153759598731995,0.5518063306808472,,,,
,0.0004904122697447341,569,,,,,,,,,,,,,,
18,,569,,,,,,,,0.90625,0.665540337562561,0.5856851935386658,,,,
,0.0004904122697447341,579,,,,,,,,,,,,,,
18,,579,,,,,,,,0.890625,0.7104635834693909,0.5338200330734253,,,,
18,,588,,,,,,,,,,,0.6324582099914551,0.2216280847787857,1.4627180099487305,0.4118916094303131
,0.00048788648778305075,589,,,,,,,,,,,,,,
19,,589,,,,,,,,0.953125,0.6158519983291626,0.5724107027053833,,,,
,0.00048788648778305075,599,,,,,,,,,,,,,,
19,,599,,,,,,,,0.9375,0.6481658220291138,0.5103732347488403,,,,
,0.00048788648778305075,609,,,,,,,,,,,,,,
19,,609,,,,,,,,0.921875,0.7083069086074829,0.5884826183319092,,,,
,0.00048788648778305075,619,,,,,,,,,,,,,,
19,,619,,,,,,,,0.9722222089767456,0.568993330001831,0.38360485434532166,,,,
19,,619,,,,,,,,,,,0.6587111949920654,0.25367462635040283,1.4854180812835693,0.4054606258869171
,0.0004850739236445125,629,,,,,,,,,,,,,,
20,,629,,,,,,,,0.9375,0.6709102392196655,0.5497221946716309,,,,
,0.0004850739236445125,639,,,,,,,,,,,,,,
20,,639,,,,,,,,0.9375,0.7654872536659241,0.5304892063140869,,,,
,0.0004850739236445125,649,,,,,,,,,,,,,,
20,,649,,,,,,,,0.9375,0.6143907904624939,0.5490623116493225,,,,
20,,650,,,,,,,,,,,0.6467780470848083,0.24395997822284698,1.5169469118118286,0.3970191180706024
,0.0004819780040052801,659,,,,,,,,,,,,,,
21,,659,,,,,,,,0.953125,0.6099578142166138,0.5414855480194092,,,,
,0.0004819780040052801,669,,,,,,,,,,,,,,
21,,669,,,,,,,,0.921875,0.6541782021522522,0.5413631200790405,,,,
,0.0004819780040052801,679,,,,,,,,,,,,,,
21,,679,,,,,,,,0.90625,0.6783425807952881,0.5679027438163757,,,,
21,,681,,,,,,,,,,,0.6324582099914551,0.21182748675346375,1.5258780717849731,0.39331838488578796
,0.0004786025007665439,689,,,,,,,,,,,,,,
22,,689,,,,,,,,0.953125,0.5946458578109741,0.5196547508239746,,,,
,0.0004786025007665439,699,,,,,,,,,,,,,,
22,,699,,,,,,,,0.953125,0.6192800402641296,0.5105658769607544,,,,
,0.0004786025007665439,709,,,,,,,,,,,,,,
22,,709,,,,,,,,0.921875,0.6186559200286865,0.5344758629798889,,,,
22,,712,,,,,,,,,,,0.6324582099914551,0.23428574204444885,1.5396368503570557,0.38632890582084656
,0.00047495152645904404,719,,,,,,,,,,,,,,
23,,719,,,,,,,,0.890625,0.6787925958633423,0.46655985713005066,,,,
,0.00047495152645904404,729,,,,,,,,,,,,,,
23,,729,,,,,,,,0.9375,0.6173714399337769,0.5009068250656128,,,,
,0.00047495152645904404,739,,,,,,,,,,,,,,
23,,739,,,,,,,,0.96875,0.5950987935066223,0.5275229215621948,,,,
23,,743,,,,,,,,,,,0.6372315287590027,0.2387007176876068,1.5139305591583252,0.3783092200756073
,0.00047102952923258466,749,,,,,,,,,,,,,,
24,,749,,,,,,,,0.921875,0.6621406674385071,0.5036047697067261,,,,
,0.00047102952923258466,759,,,,,,,,,,,,,,
24,,759,,,,,,,,0.9375,0.6058908104896545,0.526845395565033,,,,
,0.00047102952923258466,769,,,,,,,,,,,,,,
24,,769,,,,,,,,0.953125,0.6056703329086304,0.5242252349853516,,,,
24,,774,,,,,,,,,,,0.6252983212471008,0.23188164830207825,1.5229700803756714,0.3644638955593109
,0.0004668412874366488,779,,,,,,,,,,,,,,
25,,779,,,,,,,,0.96875,0.6355754137039185,0.4971924424171448,,,,
,0.0004668412874366488,789,,,,,,,,,,,,,,
25,,789,,,,,,,,0.953125,0.5787368416786194,0.4708399474620819,,,,
,0.0004668412874366488,799,,,,,,,,,,,,,,
25,,799,,,,,,,,0.9375,0.6206672787666321,0.4882699251174927,,,,
25,,805,,,,,,,,,,,0.6539379358291626,0.23372696340084076,1.4647949934005737,0.36264559626579285
,0.0004623919037987156,809,,,,,,,,,,,,,,
26,,809,,,,,,,,0.953125,0.626409649848938,0.4968082904815674,,,,
,0.0004623919037987156,819,,,,,,,,,,,,,,
26,,819,,,,,,,,0.953125,0.5939929485321045,0.47218114137649536,,,,
,0.0004623919037987156,829,,,,,,,,,,,,,,
26,,829,,,,,,,,0.921875,0.6131414175033569,0.4666087031364441,,,,
26,,836,,,,,,,,,,,0.6085919141769409,0.2218664139509201,1.4918626546859741,0.3590131998062134
,0.000457686799207373,839,,,,,,,,,,,,,,
27,,839,,,,,,,,1.0,0.5388017892837524,0.45942795276641846,,,,
,0.000457686799207373,849,,,,,,,,,,,,,,
27,,849,,,,,,,,0.96875,0.5545781850814819,0.44532227516174316,,,,
,0.000457686799207373,859,,,,,,,,,,,,,,
27,,859,,,,,,,,1.0,0.526730477809906,0.45795783400535583,,,,
27,,867,,,,,,,,,,,0.6396181583404541,0.24269084632396698,1.476548671722412,0.35420310497283936
,0.00045273170610779967,869,,,,,,,,,,,,,,
28,,869,,,,,,,,0.9375,0.5905035734176636,0.468271940946579,,,,
,0.00045273170610779967,879,,,,,,,,,,,,,,
28,,879,,,,,,,,0.9375,0.5832626819610596,0.4716683328151703,,,,
,0.00045273170610779967,889,,,,,,,,,,,,,,
28,,889,,,,,,,,0.96875,0.5536292195320129,0.4523124694824219,,,,
28,,898,,,,,,,,,,,0.620525062084198,0.23345033824443817,1.5398696660995483,0.3535367250442505
,0.0004475326615176639,899,,,,,,,,,,,,,,
29,,899,,,,,,,,0.984375,0.5308255553245544,0.43597543239593506,,,,
,0.0004475326615176639,909,,,,,,,,,,,,,,
29,,909,,,,,,,,0.984375,0.5525553822517395,0.46625587344169617,,,,
,0.0004475326615176639,919,,,,,,,,,,,,,,
29,,919,,,,,,,,0.984375,0.5554683804512024,0.38844186067581177,,,,
,0.0004475326615176639,929,,,,,,,,,,,,,,
29,,929,,,,,,,,1.0,0.507361888885498,0.29551488161087036,,,,
29,,929,,,,,,,,,,,0.6324582099914551,0.2511352002620697,1.501646637916565,0.34302130341529846
,0.0004420959996719472,939,,,,,,,,,,,,,,
30,,939,,,,,,,,0.96875,0.5642406940460205,0.4136218726634979,,,,
,0.0004420959996719472,949,,,,,,,,,,,,,,
30,,949,,,,,,,,0.96875,0.5631518363952637,0.46441158652305603,,,,
,0.0004420959996719472,959,,,,,,,,,,,,,,
30,,959,,,,,,,,0.984375,0.5397714376449585,0.44984170794487,,,,
30,,960,,,,,,,,,,,0.6372315287590027,0.22692912817001343,1.4616162776947021,0.3369644582271576
,0.0004364283443056552,969,,,,,,,,,,,,,,
31,,969,,,,,,,,1.0,0.5345870852470398,0.4585293233394623,,,,
,0.0004364283443056552,979,,,,,,,,,,,,,,
31,,979,,,,,,,,0.984375,0.561120331287384,0.45613956451416016,,,,
,0.0004364283443056552,989,,,,,,,,,,,,,,
31,,989,,,,,,,,0.984375,0.5480667948722839,0.44592055678367615,,,,
31,,991,,,,,,,,,,,0.6300715804100037,0.22497247159481049,1.5293487310409546,0.33455225825309753
,0.00043053660058381627,999,,,,,,,,,,,,,,
32,,999,,,,,,,,0.984375,0.5467321872711182,0.4402533173561096,,,,
,0.00043053660058381627,1009,,,,,,,,,,,,,,
32,,1009,,,,,,,,0.96875,0.5376487970352173,0.4350031018257141,,,,
,0.00043053660058381627,1019,,,,,,,,,,,,,,
32,,1019,,,,,,,,0.984375,0.5803167819976807,0.4386563003063202,,,,
32,,1022,,,,,,,,,,,0.6372315287590027,0.23716770112514496,1.5149967670440674,0.32805129885673523
,0.0004244279466886019,1029,,,,,,,,,,,,,,
33,,1029,,,,,,,,1.0,0.519512414932251,0.4360658526420593,,,,
,0.0004244279466886019,1039,,,,,,,,,,,,,,
33,,1039,,,,,,,,0.96875,0.5496236085891724,0.43854737281799316,,,,
,0.0004244279466886019,1049,,,,,,,,,,,,,,
33,,1049,,,,,,,,1.0,0.5338672995567322,0.413543164730072,,,,
33,,1053,,,,,,,,,,,0.6229116916656494,0.2216499298810959,1.4924379587173462,0.32407885789871216
,0.00041810982507381754,1059,,,,,,,,,,,,,,
34,,1059,,,,,,,,1.0,0.5067026019096375,0.44698166847229004,,,,
,0.00041810982507381754,1069,,,,,,,,,,,,,,
34,,1069,,,,,,,,1.0,0.51679927110672,0.4172816276550293,,,,
,0.00041810982507381754,1079,,,,,,,,,,,,,,
34,,1079,,,,,,,,0.984375,0.5213603377342224,0.42254266142845154,,,,
34,,1084,,,,,,,,,,,0.620525062084198,0.2206086367368698,1.493680477142334,0.3186112642288208
,0.0004115899333974186,1089,,,,,,,,,,,,,,
35,,1089,,,,,,,,0.984375,0.5386032462120056,0.4189256429672241,,,,
,0.0004115899333974186,1099,,,,,,,,,,,,,,
35,,1099,,,,,,,,0.953125,0.5595383048057556,0.39314505457878113,,,,
,0.0004115899333974186,1109,,,,,,,,,,,,,,
35,,1109,,,,,,,,1.0,0.5355349779129028,0.42248547077178955,,,,
35,,1115,,,,,,,,,,,0.6491646766662598,0.23988668620586395,1.4648452997207642,0.3156032860279083
,0.0004048762151431006,1119,,,,,,,,,,,,,,
36,,1119,,,,,,,,1.0,0.5115690231323242,0.3792600631713867,,,,
,0.0004048762151431006,1129,,,,,,,,,,,,,,
36,,1129,,,,,,,,1.0,0.5257249474525452,0.39551302790641785,,,,
,0.0004048762151431006,1139,,,,,,,,,,,,,,
36,,1139,,,,,,,,0.96875,0.561046302318573,0.3912452161312103,,,,
36,,1146,,,,,,,,,,,0.6396181583404541,0.25528374314308167,1.5117226839065552,0.31856170296669006
,0.0003979768499423873,1149,,,,,,,,,,,,,,
37,,1149,,,,,,,,0.984375,0.5360661745071411,0.40581828355789185,,,,
,0.0003979768499423873,1159,,,,,,,,,,,,,,
37,,1159,,,,,,,,0.984375,0.5236157178878784,0.4081263244152069,,,,
,0.0003979768499423873,1169,,,,,,,,,,,,,,
37,,1169,,,,,,,,0.953125,0.5901564359664917,0.38402795791625977,,,,
37,,1177,,,,,,,,,,,0.6252983212471008,0.24208110570907593,1.4738787412643433,0.3119630217552185
,0.00039090024360901,1179,,,,,,,,,,,,,,
38,,1179,,,,,,,,0.984375,0.5295541286468506,0.3768405616283417,,,,
,0.00039090024360901,1189,,,,,,,,,,,,,,
38,,1189,,,,,,,,0.984375,0.5168013572692871,0.4155091643333435,,,,
,0.00039090024360901,1199,,,,,,,,,,,,,,
38,,1199,,,,,,,,0.953125,0.6346052885055542,0.3837980031967163,,,,
38,,1208,,,,,,,,,,,0.6324582099914551,0.22223390638828278,1.5007719993591309,0.3094610571861267
,0.00038365501789771835,1209,,,,,,,,,,,,,,
39,,1209,,,,,,,,0.984375,0.527382493019104,0.35099297761917114,,,,
,0.00038365501789771835,1219,,,,,,,,,,,,,,
39,,1219,,,,,,,,0.984375,0.5254923105239868,0.38879871368408203,,,,
,0.00038365501789771835,1229,,,,,,,,,,,,,,
39,,1229,,,,,,,,0.984375,0.5351806282997131,0.4063771367073059,,,,
,0.00038365501789771835,1239,,,,,,,,,,,,,,
39,,1239,,,,,,,,1.0,0.48821336030960083,0.2644347846508026,,,,
39,,1239,,,,,,,,,,,0.6300715804100037,0.21782538294792175,1.4713810682296753,0.3082323372364044
,0.0003762500000000001,1249,,,,,,,,,,,,,,
40,,1249,,,,,,,,0.984375,0.532240092754364,0.3574378490447998,,,,
,0.0003762500000000001,1259,,,,,,,,,,,,,,
40,,1259,,,,,,,,0.984375,0.509152352809906,0.35577958822250366,,,,
,0.0003762500000000001,1269,,,,,,,,,,,,,,
40,,1269,,,,,,,,0.984375,0.5525150895118713,0.3521394729614258,,,,
40,,1270,,,,,,,,,,,0.6300715804100037,0.23284025490283966,1.4511929750442505,0.3045419454574585
,0.00036869421178950805,1279,,,,,,,,,,,,,,
41,,1279,,,,,,,,0.96875,0.5463786721229553,0.3978646695613861,,,,
,0.00036869421178950805,1289,,,,,,,,,,,,,,
41,,1289,,,,,,,,1.0,0.496372789144516,0.3449428975582123,,,,
,0.00036869421178950805,1299,,,,,,,,,,,,,,
41,,1299,,,,,,,,0.984375,0.535605788230896,0.3515642583370209,,,,
41,,1301,,,,,,,,,,,0.6133651733398438,0.20822274684906006,1.4520914554595947,0.3035767078399658
,0.00036099685883029674,1309,,,,,,,,,,,,,,
42,,1309,,,,,,,,1.0,0.5145828723907471,0.3929722011089325,,,,
,0.00036099685883029674,1319,,,,,,,,,,,,,,
42,,1319,,,,,,,,0.96875,0.5506484508514404,0.35878777503967285,,,,
,0.00036099685883029674,1329,,,,,,,,,,,,,,
42,,1329,,,,,,,,0.984375,0.5186679363250732,0.37394893169403076,,,,
42,,1332,,,,,,,,,,,0.6276849508285522,0.23469726741313934,1.451088547706604,0.2980993092060089
,0.0003531673191612606,1339,,,,,,,,,,,,,,
43,,1339,,,,,,,,0.96875,0.5296904444694519,0.3720735013484955,,,,
,0.0003531673191612606,1349,,,,,,,,,,,,,,
43,,1349,,,,,,,,0.953125,0.5369272232055664,0.3548724055290222,,,,
,0.0003531673191612606,1359,,,,,,,,,,,,,,
43,,1359,,,,,,,,0.984375,0.5166507363319397,0.3769128918647766,,,,
43,,1363,,,,,,,,,,,0.6133651733398438,0.24267220497131348,1.456727147102356,0.29359039664268494
,0.0003452151318704383,1369,,,,,,,,,,,,,,
44,,1369,,,,,,,,0.984375,0.5310163497924805,0.39034438133239746,,,,
,0.0003452151318704383,1379,,,,,,,,,,,,,,
44,,1379,,,,,,,,1.0,0.49685460329055786,0.3512852191925049,,,,
,0.0003452151318704383,1389,,,,,,,,,,,,,,
44,,1389,,,,,,,,0.984375,0.5137320160865784,0.37176793813705444,,,,
44,,1394,,,,,,,,,,,0.6276849508285522,0.21854254603385925,1.4472150802612305,0.2953121066093445
,0.0003371499854731031,1399,,,,,,,,,,,,,,
45,,1399,,,,,,,,1.0,0.5221544504165649,0.3624802827835083,,,,
,0.0003371499854731031,1409,,,,,,,,,,,,,,
45,,1409,,,,,,,,1.0,0.5162814259529114,0.34139180183410645,,,,
,0.0003371499854731031,1419,,,,,,,,,,,,,,
45,,1419,,,,,,,,0.984375,0.5090456008911133,0.342864453792572,,,,
45,,1425,,,,,,,,,,,0.6300715804100037,0.2541065216064453,1.4534529447555542,0.29287585616111755
,0.00032898170610779956,1429,,,,,,,,,,,,,,
46,,1429,,,,,,,,0.984375,0.5166785717010498,0.35362493991851807,,,,
,0.00032898170610779956,1439,,,,,,,,,,,,,,
46,,1439,,,,,,,,0.96875,0.527520477771759,0.3617897927761078,,,,
,0.00032898170610779956,1449,,,,,,,,,,,,,,
46,,1449,,,,,,,,1.0,0.5063668489456177,0.39738792181015015,,,,
46,,1456,,,,,,,,,,,0.6396181583404541,0.22972360253334045,1.4483669996261597,0.28858378529548645
,0.00032072024556470733,1459,,,,,,,,,,,,,,
47,,1459,,,,,,,,1.0,0.48682844638824463,0.3208189606666565,,,,
,0.00032072024556470733,1469,,,,,,,,,,,,,,
47,,1469,,,,,,,,1.0,0.5012507438659668,0.3499791622161865,,,,
,0.00032072024556470733,1479,,,,,,,,,,,,,,
47,,1479,,,,,,,,0.96875,0.5399043560028076,0.3351266086101532,,,,
47,,1487,,,,,,,,,,,0.6515513062477112,0.24504004418849945,1.454775094985962,0.2876971364021301
,0.0003123756691609178,1489,,,,,,,,,,,,,,
48,,1489,,,,,,,,0.96875,0.5455818176269531,0.34792065620422363,,,,
,0.0003123756691609178,1499,,,,,,,,,,,,,,
48,,1499,,,,,,,,0.984375,0.5224996209144592,0.3408214747905731,,,,
,0.0003123756691609178,1509,,,,,,,,,,,,,,
48,,1509,,,,,,,,1.0,0.5251556038856506,0.340941846370697,,,,
48,,1518,,,,,,,,,,,0.6539379358291626,0.25841477513313293,1.4508962631225586,0.2854819893836975
,0.0003039581434773955,1519,,,,,,,,,,,,,,
49,,1519,,,,,,,,1.0,0.5083661675453186,0.31356337666511536,,,,
,0.0003039581434773955,1529,,,,,,,,,,,,,,
49,,1529,,,,,,,,0.984375,0.5180082321166992,0.3152477741241455,,,,
,0.0003039581434773955,1539,,,,,,,,,,,,,,
49,,1539,,,,,,,,0.984375,0.5049179196357727,0.31979990005493164,,,,
,0.0003039581434773955,1549,,,,,,,,,,,,,,
49,,1549,,,,,,,,0.944444477558136,0.5405317544937134,0.22562973201274872,,,,
49,,1549,,,,,,,,,,,0.6396181583404541,0.24169544875621796,1.4493987560272217,0.2804989218711853
,0.00029547792397256533,1559,,,,,,,,,,,,,,
